"...1";"ID";"CASRN";"DTXSID";"Name";"IUPAC.NAME";"Molecular.formula";"SMILES";"InChI.String";"InChIKey";"Averagre.mass..amu.";"Monoisotopic.mass..amu.";"ORLD50";"DMLC50";"TPIGC50";"FMLC50";"DT";"AM";"ToxPi"
13;13;"1980-5-7";"DTXSID7020182";"Bisphenol A";"4,4'-(Propane-2,2-diyl)diphenol";"C15H16O2";"CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1";"InChI=1S/C15H16O2/c1-15(2,11-3-7-13(16)8-4-11)12-5-9-14(17)10-6-12/h3-10,16-17H,1-2H3";"IISBACLAFKSPIT-UHFFFAOYSA-N";"228.291";"228.1150298";"1.85";"4.3";"4.63";"4.69";"0.71";"0";"0.3842"
14;14;"100-02-7";"DTXSID0021834";"4-Nitrophenol";"4-Nitrophenol";"C6H5NO3";"OC1=CC=C(C=C1)N(=O)=O";"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H";"BTJIUGUIPKRLHP-UHFFFAOYSA-N";"139.11";"139.026943";"2.84";"4.02";"4.42";"3.53";"0.28";"0";"0.1378"
15;15;"101-20-2";"DTXSID4026214";"Triclocarban";"N-(4-Chlorophenyl)-N'-(3,4-dichlorophenyl)urea";"C13H9Cl3N2O";"ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1";"InChI=1S/C13H9Cl3N2O/c14-8-1-3-9(4-2-8)17-13(19)18-10-5-6-11(15)12(16)7-10/h1-7H,(H2,17,18,19)";"ICUTUKXCWQYESQ-UHFFFAOYSA-N";"315.58";"313.978046";"N/A";"7.48";"N/A";"6.54";"0.73";"0";"0.3422"
16;16;"10265-92-6";"DTXSID6024177";"Methamidophos";"O,S-Dimethyl phosphoramidothioate";"C2H8NO2PS";"COP(N)(=O)SC";"InChI=1/C2H8NO2PS/c1-5-6(3,4)7-2/h1-2H3,(H2,3,4)";"NNKVPIKMPCQWCG-UHFFFAOYSA-N";"141.12";"141.0013367";"4.28";"6.62";"N/A";"N/A";"0.82";"0.38";"0.1229"
17;17;"106-48-9";"DTXSID1021871";"4-Chlorophenol";"4-Chlorophenol";"C6H5ClO";"OC1=CC=C(Cl)C=C1";"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H";"WXNZTHHGJRFXKQ-UHFFFAOYSA-N";"128.56";"128.0028925";"2.28";"4.43";"3.54";"4.46";"N/A";"0";"0.0737"
18;18;"107-66-4";"DTXSID3040728";"Phosphoric acid, dibutyl ester";"Dibutyl hydrogen phosphate";"C8H19O4P";"CCCCOP(O)(=O)OCCCC";"InChI=1S/C8H19O4P/c1-3-5-7-11-13(9,10)12-8-6-4-2/h3-8H2,1-2H3,(H,9,10)";"JYFHYPJRHGVZDY-UHFFFAOYSA-N";"210.21";"210.1020961";"1.82";"5.55";"N/A";"4.68";"0.88";"0.37";"0.0992"
19;19;"108-95-2";"DTXSID5021124";"Phenol";"Phenol";"C6H6O";"OC1=CC=CC=C1";"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H";"ISWSIDIOOBJBQZ-UHFFFAOYSA-N";"94.113";"94.04186481";"2.47";"3.85";"2.65";"3.5";"0.58";"0";"0.1804"
20;20;"120-83-2";"DTXSID1020439";"2,4-Dichlorophenol";"2,4-Dichlorophenol";"C6H4Cl2O";"OC1=C(Cl)C=C(Cl)C=C1";"InChI=1S/C6H4Cl2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H";"HFZWRUODUSTPEG-UHFFFAOYSA-N";"163";"161.9639201";"3.54";"4.8";"4.04";"4.3";"0.18";"0";"0.2176"
21;21;"131-57-7";"DTXSID3022405";"2-Hydroxy-4-methoxybenzophenone";"(2-Hydroxy-4-methoxyphenyl)(phenyl)methanone";"C14H12O3";"COC1=CC=C(C(=O)C2=CC=CC=C2)C(O)=C1";"InChI=1S/C14H12O3/c1-17-11-7-8-12(13(15)9-11)14(16)10-5-3-2-4-6-10/h2-9,15H,1H3";"DXGLGDHPHMLXJC-UHFFFAOYSA-N";"228.247";"228.0786442";"1.49";"4.7";"4.42";"4.52";"0.78";"0";"0.176"
22;22;"134-62-3";"DTXSID2021995";"DEET";"N,N-Diethyl-3-methylbenzamide";"C12H17NO";"CCN(CC)C(=O)C1=CC=CC(C)=C1";"InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3";"MMOXZBCLCQITDF-UHFFFAOYSA-N";"191.274";"191.1310142";"1.99";"3.08";"3.47";"3.24";"0.57";"0";"0.0212"
