"...1";"ID";"CASRN";"DTXSID";"Name";"IUPAC.NAME";"Molecular.formula";"SMILES";"InChI.String";"InChIKey";"Averagre.mass..amu.";"Monoisotopic.mass..amu.";"ORLD50";"DMLC50";"TPIGC50";"FMLC50";"DT";"AM";"ToxPi"
220;220;"110-44-1";"DTXSID3021277";"2E,4E-Hexadienoic acid";"(2E,4E)-Hexa-2,4-dienoic acid";"C6H8O2";"CC=CC=CC(O)=O";"InChI=1S/C6H8O2/c1-2-3-4-5-6(7)8/h2-5H,1H3,(H,7,8)/b3-2+,5-4+";"WSWCOQWTEOXDQX-MQQKCMAXSA-N";"112.128";"112.0524295";"1.18";"3.36";"2.87";"3.5";"0.58";"0";"0.2213"
221;221;"110-62-3";"DTXSID7021653";"Pentanal";"Pentanal";"C5H10O";"CCCCC=O";"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3";"HGBOYTHUEUWSSQ-UHFFFAOYSA-N";"86.134";"86.07316494";"1.27";"3.36";"2.98";"3.83";"0.26";"0";"0.208"
222;222;"110-63-4";"DTXSID2024666";"1,4-Butanediol";"Butane-1,4-diol";"C4H10O2";"OCCCCO";"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2";"WERYXYBDKMZEQL-UHFFFAOYSA-N";"90.122";"90.06807956";"1.77";"1.95";"0.76";"1.73";"0.7";"0";"0.1042"
223;223;"110-64-5";"DTXSID9026849";"2-Butene-1,4-diol";"But-2-ene-1,4-diol";"C4H8O2";"OCC=CCO";"InChI=1S/C4H8O2/c5-3-1-2-4-6/h1-2,5-6H,3-4H2";"ORTVZLZNOYNASJ-UHFFFAOYSA-N";"88.106";"88.0524295";"N/A";"1.98";"0.85";"2.2";"0.62";"0.29";"0.0955"
224;224;"110-65-6";"DTXSID4021921";"2-Butyne-1,4-diol";"But-2-yne-1,4-diol";"C4H6O2";"OCC#CCO";"InChI=1S/C4H6O2/c5-3-1-2-4-6/h5-6H,3-4H2";"DLDJFQGPPSQZKI-UHFFFAOYSA-N";"86.09";"86.03677943";"2.91";"1.97";"1.12";"3.21";"0.72";"0";"0.0163"
225;225;"11070-44-3";"DTXSID0027729";"Isomethyltetrahydrophthalic anhydride";"-";"-";"CC12CCCC=C1C(=O)OC2=O";"-";"-";"-";"-";"N/A";"N/A";"N/A";"N/A";"0.55";"0.13";"0.0684"
226;226;"110-80-5";"DTXSID7024087";"2-Ethoxyethanol";"2-Ethoxyethan-1-ol";"C4H10O2";"CCOCCO";"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3";"ZNQVEEAIQZEUHB-UHFFFAOYSA-N";"90.122";"90.06807956";"1.63";"1.07";"1.22";"1.31";"0.22";"0";"0.1419"
227;227;"110-85-0";"DTXSID1021164";"Piperazine";"Piperazine";"C4H10N2";"C1CNCCN1";"InChI=1S/C4H10N2/c1-2-6-4-3-5-1/h5-6H,1-4H2";"GLUUGHFHXGJENI-UHFFFAOYSA-N";"86.138";"86.08439833";"1.66";"2.66";"1.74";"1.81";"0";"0";"0.1036"
228;228;"110-91-8";"DTXSID2025688";"Morpholine";"Morpholine";"C4H9NO";"C1COCCN1";"InChI=1S/C4H9NO/c1-3-6-4-2-5-1/h5H,1-4H2";"YNAVUWVOSKDBBP-UHFFFAOYSA-N";"87.122";"87.06841391";"1.78";"2.48";"1.55";"1.53";"0.37";"0";"0.0426"
229;229;"110-93-0";"DTXSID5021629";"6-Methyl-5-hepten-2-one";"6-Methylhept-5-en-2-one";"C8H14O";"CC(C)=CCCC(C)=O";"InChI=1S/C8H14O/c1-7(2)5-4-6-8(3)9/h5H,4,6H2,1-3H3";"UHEPJGULSIKKTP-UHFFFAOYSA-N";"126.199";"126.1044651";"1.56";"3.57";"2.55";"3.17";"0.79";"-0.03";"0.0788"
230;230;"110-94-1";"DTXSID2021654";"Glutaric acid";"Pentanedioic acid";"C5H8O4";"OC(=O)CCCC(O)=O";"InChI=1S/C5H8O4/c6-4(7)2-1-3-5(8)9/h1-3H2,(H,6,7)(H,8,9)";"JFCQEDHGNNZCLN-UHFFFAOYSA-N";"132.115";"132.0422587";"N/A";"2.84";"2.36";"2.65";"0.36";"0";"0.0168"
231;231;"110-96-3";"DTXSID5025079";"Diisobutylamine";"2-Methyl-N-(2-methylpropyl)propan-1-amine";"C8H19N";"CC(C)CNCC(C)C";"InChI=1S/C8H19N/c1-7(2)5-9-6-8(3)4/h7-9H,5-6H2,1-4H3";"NJBCRXCAPCODGX-UHFFFAOYSA-N";"129.247";"129.1517496";"2.7";"3.61";"2.7";"3.47";"1.03";"0";"0.0283"
232;232;"110-97-4";"DTXSID8020179";"Diisopropanolamine";"1,1'-Azanediyldi(propan-2-ol)";"C6H15NO2";"CC(O)CNCC(C)O";"InChI=1/C6H15NO2/c1-5(8)3-7-4-6(2)9/h5-9H,3-4H2,1-2H3";"LVTYICIALWPMFW-UHFFFAOYSA-N";"133.191";"133.1102787";"1.45";"2.08";"1.45";"1.54";"0.42";"0.29";"0.0521"
233;233;"110-98-5";"DTXSID7026863";"1,1'-Oxybis-2-propanol";"1,1'-Oxydi(propan-2-ol)";"C6H14O3";"CC(O)COCC(C)O";"InChI=1/C6H14O3/c1-5(7)3-9-4-6(2)8/h5-8H,3-4H2,1-2H3";"AZUXKVXMJOIAOF-UHFFFAOYSA-N";"134.175";"134.0942943";"0.96";"1.6";"1.44";"1.23";"0.49";"0.23";"0.0175"
234;234;"11099-07-3";"DTXSID9029304";"Glyceryl stearate";"-";"-";"CCCCCCCCCCCCCCCCCC(=O)OCC(CO)O";"-";"-";"-";"-";"N/A";"4.74";"5.67";"5.34";"0.35";"0.12";"0.0969"
235;235;"111109-77-4";"DTXSID0042327";"Dipropylene glycol dimethyl ether";"-";"-";"COCCCOCCCOC";"-";"-";"-";"-";"N/A";"2.7";"2.31";"2.38";"0.6";"0.02";"0"
236;236;"111-11-5";"DTXSID2026864";"Methyl octanoate";"Methyl octanoate";"C9H18O2";"CCCCCCCC(=O)OC";"InChI=1S/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2,1-2H3";"JGHZJRVDZXSNKQ-UHFFFAOYSA-N";"158.241";"158.1306798";"N/A";"3.77";"3.54";"4.27";"0.74";"0.02";"0.052"
237;237;"111-14-8";"DTXSID2021600";"Heptanoic acid";"Heptanoic acid";"C7H14O2";"CCCCCCC(O)=O";"InChI=1S/C7H14O2/c1-2-3-4-5-6-7(8)9/h2-6H2,1H3,(H,8,9)";"MNWFXJYAOYHMED-UHFFFAOYSA-N";"130.187";"130.0993797";"1.27";"3.31";"2.89";"3.72";"0.86";"0";"0.0977"
238;238;"111-15-9";"DTXSID9021928";"Ethylene glycol monoethyl ether acetate";"2-Ethoxyethyl acetate";"C6H12O3";"CCOCCOC(C)=O";"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3";"SVONRAPFKPVNKG-UHFFFAOYSA-N";"132.159";"132.0786442";"1.69";"2.55";"2.17";"3.5";"0.5";"1";"0.1551"
239;239;"111-17-1";"DTXSID8044200";"3,3'-Thiodipropionic acid";"3,3'-Sulfanediyldipropanoic acid";"C6H10O4S";"OC(=O)CCSCCC(O)=O";"InChI=1S/C6H10O4S/c7-5(8)1-3-11-4-2-6(9)10/h1-4H2,(H,7,8)(H,9,10)";"ODJQKYXPKWQWNK-UHFFFAOYSA-N";"178.2";"178.02998";"1.77";"3.02";"N/A";"3.22";"0.42";"0.12";"0.1355"
240;240;"1111-78-0";"DTXSID9027360";"Ammonium carbamate";"Ammonium carbamate";"CH6N2O2";"NC(O)=O";"InChI=1S/CH3NO2.H3N/c2-1(3)4;/h2H2,(H,3,4);1H3";"BVCZEBOGSOYJJT-UHFFFAOYSA-N";"78.071";"78.04292744";"N/A";"2.73";"1.04";"1.95";"0.91";"0.12";"0.0165"
241;241;"111-20-6";"DTXSID7026867";"Decanedioic acid";"Decanedioic acid";"C10H18O4";"OC(=O)CCCCCCCCC(O)=O";"InChI=1S/C10H18O4/c11-9(12)7-5-3-1-2-4-6-8-10(13)14/h1-8H2,(H,11,12)(H,13,14)";"CXMXRPHRNRROMY-UHFFFAOYSA-N";"202.25";"202.1205091";"1.15";"3.06";"2.73";"4.15";"0.49";"0";"0.1241"
242;242;"1112-39-6";"DTXSID0042379";"Dimethoxydimethylsilane";"Dimethoxy(dimethyl)silane";"C4H12O2Si";"CO[Si](C)(C)OC";"InChI=1S/C4H12O2Si/c1-5-7(3,4)6-2/h1-4H3";"JJQZDUKDJDQPMQ-UHFFFAOYSA-N";"120.223";"120.0606562";"N/A";"N/A";"N/A";"N/A";"0.64";"0.03";"0.0925"
243;243;"111-27-3";"DTXSID8021931";"1-Hexanol";"Hexan-1-ol";"C6H14O";"CCCCCCO";"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3";"ZSIAUFGUXNUGDI-UHFFFAOYSA-N";"102.177";"102.1044651";"2.15";"3.12";"2.62";"2.94";"0.78";"0.32";"0.094"
244;244;"111-29-5";"DTXSID2041256";"1,5-Pentanediol";"Pentane-1,5-diol";"C5H12O2";"OCCCCCO";"InChI=1S/C5H12O2/c6-4-2-1-3-5-7/h6-7H,1-5H2";"ALQSHHUCVQOPAS-UHFFFAOYSA-N";"104.149";"104.0837296";"1.72";"2.86";"1.07";"1.84";"0.53";"-0.01";"0.0737"
245;245;"111-30-8";"DTXSID6025355";"Glutaraldehyde";"Pentanedial";"C5H8O2";"O=CCCCC=O";"InChI=1S/C5H8O2/c6-4-2-1-3-5-7/h4-5H,1-3H2";"SXRSQZLOMIGNAQ-UHFFFAOYSA-N";"100.117";"100.0524295";"2.87";"3.79";"3.35";"4.1";"0.42";"1";"0.1138"
246;246;"111-40-0";"DTXSID2025050";"Diethylenetriamine";"N~1~-(2-Aminoethyl)ethane-1,2-diamine";"C4H13N3";"NCCNCCN";"InChI=1S/C4H13N3/c5-1-3-7-4-2-6/h7H,1-6H2";"RPNUMPOLZDHAAY-UHFFFAOYSA-N";"103.169";"103.1109474";"1.98";"3.5";"1.82";"1.84";"0.23";"0";"0.0468"
247;247;"111-41-1";"DTXSID7025423";"N-(Hydroxyethyl)ethylenediamine";"2-[(2-Aminoethyl)amino]ethan-1-ol";"C4H12N2O";"NCCNCCO";"InChI=1S/C4H12N2O/c5-1-2-6-3-4-7/h6-7H,1-5H2";"LHIJANUOQQMGNT-UHFFFAOYSA-N";"104.153";"104.094963";"1.54";"2.47";"1.49";"1.41";"0.26";"1";"0.0133"
248;248;"111-42-2";"DTXSID3021932";"Diethanolamine";"2,2'-Azanediyldi(ethan-1-ol)";"C4H11NO2";"OCCNCCO";"InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H,1-4H2";"ZBCBWPMODOFKDW-UHFFFAOYSA-N";"105.137";"105.0789786";"2.19";"2.96";"1.21";"1.85";"0.23";"0";"0.135"
249;249;"111-44-4";"DTXSID9020168";"Bis(2-chloroethyl) ether";"1-Chloro-2-(2-chloroethoxy)ethane";"C4H8Cl2O";"ClCCOCCCl";"InChI=1S/C4H8Cl2O/c5-1-3-7-4-2-6/h1-4H2";"ZNSMNVMLTJELDZ-UHFFFAOYSA-N";"143.01";"141.9952203";"3.28";"2.78";"3.29";"2.99";"0.64";"1";"0.2273"
250;250;"111-46-6";"DTXSID8020462";"Diethylene glycol";"2,2'-Oxydi(ethan-1-ol)";"C4H10O3";"OCCOCCO";"InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2";"MTHSVFCYNBDYFN-UHFFFAOYSA-N";"106.121";"106.0629942";"0.93";"1.27";"0.92";"0.15";"0.21";"0";"0.1616"
251;251;"111-48-8";"DTXSID6026878";"2,2'-Thiobisethanol";"2,2'-Sulfanediyldi(ethan-1-ol)";"C4H10O2S";"OCCSCCO";"InChI=1S/C4H10O2S/c5-1-3-7-4-2-6/h5-6H,1-4H2";"YODZTKMDCQEPHD-UHFFFAOYSA-N";"122.18";"122.0401507";"1.27";"2.76";"N/A";"1.75";"0.39";"0.12";"0.0177"
252;252;"111-49-9";"DTXSID1026879";"Hexamethyleneimine";"Azepane";"C6H13N";"C1CCCNCC1";"InChI=1S/C6H13N/c1-2-4-6-7-5-3-1/h7H,1-6H2";"ZSIQJIWKELUFRJ-UHFFFAOYSA-N";"99.177";"99.10479942";"3.68";"3.22";"N/A";"2.86";"0.58";"0";"0.1038"
253;253;"1115-20-4";"DTXSID4027361";"3-Hydroxy-2,2-dimethylpropyl 3-hydroxy-2,2-dimethylpropanoate";"3-Hydroxy-2,2-dimethylpropyl 3-hydroxy-2,2-dimethylpropanoate";"C10H20O4";"CC(C)(CO)COC(=O)C(C)(C)CO";"InChI=1S/C10H20O4/c1-9(2,5-11)7-14-8(13)10(3,4)6-12/h11-12H,5-7H2,1-4H3";"SZCWBURCISJFEZ-UHFFFAOYSA-N";"204.266";"204.1361591";"N/A";"4.84";"2.3";"2.71";"0.78";"N/A";"0.0315"
254;254;"111-55-7";"DTXSID0026880";"1,2-Ethanediol diacetate";"Ethane-1,2-diyl diacetate";"C6H10O4";"CC(=O)OCCOC(C)=O";"InChI=1S/C6H10O4/c1-5(7)9-3-4-10-6(2)8/h3-4H2,1-2H3";"JTXMVXSTHSMVQF-UHFFFAOYSA-N";"146.142";"146.0579088";"1.33";"3.03";"1.9";"3.07";"0.59";"0.2";"0.0186"
255;255;"111-66-0";"DTXSID6025804";"1-Octene";"Oct-1-ene";"C8H16";"CCCCCCC=C";"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3";"KWKAKUADMBZCLK-UHFFFAOYSA-N";"112.216";"112.1252005";"N/A";"4.51";"3.78";"4.85";"0.63";"0";"0.0344"
256;256;"111-69-3";"DTXSID3021936";"Hexanedinitrile";"Hexanedinitrile";"C6H8N2";"N#CCCCCC#N";"InChI=1S/C6H8N2/c7-5-3-1-2-4-6-8/h1-4H2";"BTGRAWJCKBQKAO-UHFFFAOYSA-N";"108.144";"108.0687483";"2.84";"3.55";"1.46";"1.94";"0.29";"0";"0.0216"
257;257;"111-71-7";"DTXSID0021597";"Heptanal";"Heptanal";"C7H14O";"CCCCCCC=O";"InChI=1S/C7H14O/c1-2-3-4-5-6-7-8/h7H,2-6H2,1H3";"FXHGMKSSBGDXIY-UHFFFAOYSA-N";"114.188";"114.1044651";"1.55";"3.54";"3";"4.19";"0.61";"0";"0.2156"
258;258;"111-76-2";"DTXSID1024097";"2-Butoxyethanol";"2-Butoxyethan-1-ol";"C6H14O2";"CCCCOCCO";"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3";"POAOYUHQDCAZBD-UHFFFAOYSA-N";"118.176";"118.0993797";"2.4";"2.25";"1.63";"2";"0.43";"0";"0.1533"
259;259;"111-77-3";"DTXSID3025049";"Diethylene glycol monomethyl ether";"2-(2-Methoxyethoxy)ethan-1-ol";"C5H12O3";"COCCOCCO";"InChI=1S/C5H12O3/c1-7-4-5-8-3-2-6/h6H,2-5H2,1H3";"SBASXUCJHJRPEV-UHFFFAOYSA-N";"120.148";"120.0786442";"1.47";"1.74";"1.47";"1.03";"0.42";"0";"0.1096"
260;260;"111-78-4";"DTXSID0026888";"1,5-Cyclooctadiene";"(1Z,5Z)-Cycloocta-1,5-diene";"C8H12";"C1CC=CCCC=C1";"InChI=1S/C8H12/c1-2-4-6-8-7-5-3-1/h1-2,7-8H,3-6H2/b2-1-,8-7-";"VYXHVRARDIDEHS-QGTKBVGQSA-N";"108.184";"108.0939004";"N/A";"3.76";"3.53";"4.16";"0.45";"N/A";"0.0333"
261;261;"111-82-0";"DTXSID5026889";"Methyl dodecanoate";"Methyl dodecanoate";"C13H26O2";"CCCCCCCCCCCC(=O)OC";"InChI=1S/C13H26O2/c1-3-4-5-6-7-8-9-10-11-12-13(14)15-2/h3-12H2,1-2H3";"UQDUPQYQJKYHQI-UHFFFAOYSA-N";"214.349";"214.1932801";"N/A";"4.91";"4.69";"5.32";"0.44";"0.08";"0.2131"
262;262;"111-84-2";"DTXSID9025796";"Nonane";"Nonane";"C9H20";"CCCCCCCCC";"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3";"BKIMMITUMNQMOS-UHFFFAOYSA-N";"128.259";"128.1565006";"N/A";"4.81";"4.21";"5.04";"0.51";"0";"0.1319"
263;263;"1118-46-3";"DTXSID0029210";"Butyltin trichloride";"Butyl(trichloro)stannane";"C4H9Cl3Sn";"CCCC[Sn](Cl)(Cl)Cl";"InChI=1S/C4H9.3ClH.Sn/c1-3-4-2;;;;/h1,3-4H2,2H3;3*1H;/q;;;;+3/p-3";"YMLFYGFCXGNERH-UHFFFAOYSA-K";"282.18";"281.879185";"N/A";"N/A";"N/A";"N/A";"0.76";"0.81";"0.0982"
264;264;"111-85-3";"DTXSID0021543";"1-Chlorooctane";"1-Chlorooctane";"C8H17Cl";"CCCCCCCCCl";"InChI=1S/C8H17Cl/c1-2-3-4-5-6-7-8-9/h2-8H2,1H3";"CNDHHGUSRIZDSL-UHFFFAOYSA-N";"148.67";"148.1018782";"N/A";"4.49";"3.67";"4.81";"0.55";"0.02";"0.0594"
265;265;"111-87-5";"DTXSID7021940";"1-Octanol";"Octan-1-ol";"C8H18O";"CCCCCCCCO";"InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3";"KBPLFHHGFOOTCA-UHFFFAOYSA-N";"130.231";"130.1357652";"N/A";"3.14";"3.58";"3.98";"0.79";"0";"0.1237"
266;266;"1118-92-9";"DTXSID9027364";"N,N-Dimethyloctanamide";"N,N-Dimethyloctanamide";"C10H21NO";"CCCCCCCC(=O)N(C)C";"InChI=1S/C10H21NO/c1-4-5-6-7-8-9-10(12)11(2)3/h4-9H2,1-3H3";"VHRUBWHAOUIMDW-UHFFFAOYSA-N";"171.284";"171.1623143";"N/A";"3.94";"3.41";"4.17";"0.65";"0.07";"0.072"
267;267;"111-90-0";"DTXSID2021941";"2-(2-Ethoxyethoxy)ethanol";"2-(2-Ethoxyethoxy)ethan-1-ol";"C6H14O3";"CCOCCOCCO";"InChI=1S/C6H14O3/c1-2-8-5-6-9-4-3-7/h7H,2-6H2,1H3";"XXJWXESWEXIICW-UHFFFAOYSA-N";"134.175";"134.0942943";"1.39";"1.53";"1.68";"0.98";"0.28";"0";"0.1191"
268;268;"111-91-1";"DTXSID4023917";"Bis(2-chloroethoxy)methane";"1-Chloro-2-[(2-chloroethoxy)methoxy]ethane";"C5H10Cl2O2";"ClCCOCOCCCl";"InChI=1S/C5H10Cl2O2/c6-1-3-8-5-9-4-2-7/h1-5H2";"NLXGURFLBLRZRO-UHFFFAOYSA-N";"173.03";"172.005785";"3.42";"2.94";"3.28";"2.97";"0.73";"0.67";"0.0297"
269;269;"111-92-2";"DTXSID7024952";"N-Butyl-1-butanamine";"N-Butylbutan-1-amine";"C8H19N";"CCCCNCCCC";"InChI=1S/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3";"JQVDAXLFBXTEQA-UHFFFAOYSA-N";"129.247";"129.1517496";"2.83";"3.65";"3.41";"3.82";"0.75";"0";"0.0255"
270;270;"1119-40-0";"DTXSID3025122";"Dimethyl glutarate";"Dimethyl pentanedioate";"C7H12O4";"COC(=O)CCCC(=O)OC";"InChI=1S/C7H12O4/c1-10-6(8)4-3-5-7(9)11-2/h3-5H2,1-2H3";"XTDYIOOONNVFMA-UHFFFAOYSA-N";"160.169";"160.0735589";"N/A";"3.59";"1.83";"3.29";"0.73";"0";"0.1522"
271;271;"111-96-6";"DTXSID1024621";"Diethylene glycol dimethyl ether";"1-Methoxy-2-(2-methoxyethoxy)ethane";"C6H14O3";"COCCOCCOC";"InChI=1S/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3";"SBZXBUIDTXKZTM-UHFFFAOYSA-N";"134.175";"134.0942943";"1.4";"2.35";"1.8";"1.25";"0.32";"0";"0.1097"
272;272;"111-97-7";"DTXSID9026899";"3,3'-Thiodipropionitrile";"3,3'-Sulfanediyldipropanenitrile";"C6H8N2S";"N#CCCSCCC#N";"InChI=1S/C6H8N2S/c7-3-1-5-9-6-2-4-8/h1-2,5-6H2";"NDVLTZFQVDXFAN-UHFFFAOYSA-N";"140.2";"140.0408194";"1.52";"4.99";"N/A";"3.48";"-0.29";"0.17";"0.0483"
273;273;"112-00-5";"DTXSID1026900";"Dodecyltrimethylammonium chloride";"N,N,N-Trimethyldodecan-1-aminium chloride";"C15H34ClN";"CCCCCCCCCCCC[N+](C)(C)C";"InChI=1S/C15H34N.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16(2,3)4;/h5-15H2,1-4H3;1H/q+1;/p-1";"DDXLVDQZPFLQMZ-UHFFFAOYSA-M";"263.89";"263.2379778";"N/A";"N/A";"N/A";"N/A";"0.34";"0.27";"0.3013"
274;274;"1120-21-4";"DTXSID9021689";"Undecane";"Undecane";"C11H24";"CCCCCCCCCCC";"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3";"RSJKGSCJYJTIGS-UHFFFAOYSA-N";"156.313";"156.1878008";"N/A";"4.99";"4.74";"5.46";"0.68";"0";"0.1729"
275;275;"1120-36-1";"DTXSID4027367";"1-Tetradecene";"Tetradec-1-ene";"C14H28";"CCCCCCCCCCCCC=C";"InChI=1S/C14H28/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3H,1,4-14H2,2H3";"HFDVRLIODXPAHB-UHFFFAOYSA-N";"196.378";"196.2191009";"N/A";"5.19";"5.74";"6.43";"0.61";"0";"0.1341"
276;276;"112-03-8";"DTXSID1026902";"N,N,N-Trimethyloctadecan-1-aminium chloride";"N,N,N-Trimethyloctadecan-1-aminium chloride";"C21H46ClN";"CCCCCCCCCCCCCCCCCC[N+](C)(C)C";"InChI=1S/C21H46N.ClH/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(2,3)4;/h5-21H2,1-4H3;1H/q+1;/p-1";"VBIIFPGSPJYLRR-UHFFFAOYSA-M";"348.06";"347.3318782";"N/A";"N/A";"N/A";"N/A";"0.27";"0.26";"0.3412"
277;277;"112-05-0";"DTXSID3021641";"Nonanoic acid";"Nonanoic acid";"C9H18O2";"CCCCCCCCC(O)=O";"InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)";"FBUKVWPVBMHYJY-UHFFFAOYSA-N";"158.241";"158.1306798";"N/A";"3.21";"3.35";"3.18";"0.83";"0.06";"0.1652"
278;278;"112-07-2";"DTXSID1026904";"2-Butoxyethyl acetate";"2-Butoxyethyl acetate";"C8H16O3";"CCCCOCCOC(C)=O";"InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3";"NQBXSWAWVZHKBZ-UHFFFAOYSA-N";"160.213";"160.1099444";"1.82";"2.98";"2.94";"3.23";"0.5";"0";"0.053"
279;279;"112-15-2";"DTXSID6026905";"2-(2-Ethoxyethoxy)ethyl acetate";"2-(2-Ethoxyethoxy)ethyl acetate";"C8H16O4";"CCOCCOCCOC(C)=O";"InChI=1S/C8H16O4/c1-3-10-4-5-11-6-7-12-8(2)9/h3-7H2,1-2H3";"FPZWZCWUIYYYBU-UHFFFAOYSA-N";"176.212";"176.104859";"1.21";"2.64";"2.35";"2.28";"0.38";"0.17";"0.0193"
280;280;"112-16-3";"DTXSID5044368";"Dodecanoyl chloride";"Dodecanoyl chloride";"C12H23ClO";"CCCCCCCCCCCC(Cl)=O";"InChI=1S/C12H23ClO/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3";"NQGIJDNPUZEBRU-UHFFFAOYSA-N";"218.77";"218.1437431";"N/A";"4.31";"N/A";"5.83";"0.28";"-0.04";"0.1484"
281;281;"112-18-5";"DTXSID1026906";"N,N-Dimethyldodecan-1-amine";"N,N-Dimethyldodecan-1-amine";"C14H31N";"CCCCCCCCCCCCN(C)C";"InChI=1S/C14H31N/c1-4-5-6-7-8-9-10-11-12-13-14-15(2)3/h4-14H2,1-3H3";"YWFWDNVOPHGWMX-UHFFFAOYSA-N";"213.409";"213.24565";"N/A";"5.06";"5.25";"5.73";"0.34";"0.1";"0.2722"
282;282;"112-24-3";"DTXSID9023702";"Triethylenetetramine";"N~1~,N~1'~-(Ethane-1,2-diyl)di(ethane-1,2-diamine)";"C6H18N4";"NCCNCCNCCN";"InChI=1S/C6H18N4/c7-1-3-9-5-6-10-4-2-8/h9-10H,1-8H2";"VILCJCGEZXAXTO-UHFFFAOYSA-N";"146.238";"146.1531466";"1.77";"3.17";"3.17";"1.98";"0.26";"1";"0.0162"
283;283;"112-25-4";"DTXSID1026908";"2-Hexyloxyethanol";"2-(Hexyloxy)ethan-1-ol";"C8H18O2";"CCCCCCOCCO";"InChI=1S/C8H18O2/c1-2-3-4-5-7-10-8-6-9/h9H,2-8H2,1H3";"UPGSWASWQBLSKZ-UHFFFAOYSA-N";"146.23";"146.1306798";"2.25";"2.71";"3.15";"3.06";"0.49";"-0.01";"0.056"
284;284;"112-27-6";"DTXSID4021393";"Triethylene glycol";"2,2'-[Ethane-1,2-diylbis(oxy)]di(ethan-1-ol)";"C6H14O4";"OCCOCCOCCO";"InChI=1S/C6H14O4/c7-1-3-9-5-6-10-4-2-8/h7-8H,1-6H2";"ZIBGPFATKBEMQZ-UHFFFAOYSA-N";"150.174";"150.0892089";"0.95";"0.46";"1.49";"0.31";"0.23";"1";"0.1555"
285;285;"112-30-1";"DTXSID7021946";"1-Decanol";"Decan-1-ol";"C10H22O";"CCCCCCCCCCO";"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3";"MWKFXSUHUHTGQN-UHFFFAOYSA-N";"158.285";"158.1670653";"1.52";"3.74";"4.33";"4.82";"0.82";"0";"0.1778"
286;286;"112-34-5";"DTXSID8021519";"2-(2-Butoxyethoxy)ethanol";"2-(2-Butoxyethoxy)ethan-1-ol";"C8H18O3";"CCCCOCCOCCO";"InChI=1S/C8H18O3/c1-2-3-5-10-7-8-11-6-4-9/h9H,2-8H2,1H3";"OAYXUHPQHDHDDZ-UHFFFAOYSA-N";"162.229";"162.1255944";"1.46";"2.4";"2.33";"2.49";"0.45";"0";"0.1565"
287;287;"112-35-6";"DTXSID5026912";"2-[2-(2-Methoxyethoxy)ethoxy]ethanol";"2-[2-(2-Methoxyethoxy)ethoxy]ethan-1-ol";"C7H16O4";"COCCOCCOCCO";"InChI=1S/C7H16O4/c1-9-4-5-11-7-6-10-3-2-8/h8H,2-7H2,1H3";"JLGLQAWTXXGVEM-UHFFFAOYSA-N";"164.201";"164.104859";"1.15";"1.64";"2.09";"1.06";"0.31";"0.12";"0.115"
288;288;"112-39-0";"DTXSID4029149";"Methyl hexadecanoate";"Methyl hexadecanoate";"C17H34O2";"CCCCCCCCCCCCCCCC(=O)OC";"InChI=1S/C17H34O2/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19-2/h3-16H2,1-2H3";"FLIACVVOZYBSBS-UHFFFAOYSA-N";"270.457";"270.2558803";"N/A";"5.25";"5.68";"6.07";"0.28";"0.02";"0.1264"
289;289;"112-40-3";"DTXSID0026913";"Dodecane";"Dodecane";"C12H26";"CCCCCCCCCCCC";"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3";"SNRUBQQJIBEYMU-UHFFFAOYSA-N";"170.34";"170.2034508";"N/A";"5.06";"5.22";"5.83";"0.71";"-0.14";"0.0294"
